Timestamp,Pets,Handedness,Extroversion,Texts,Hours of Sleep,Sleep Position,Pant Leg,Piercings,Food Preference
8/24/2026 16:41:18,Cat,Right,3,1,8,On my left side,Right leg,2,Sweet
8/24/2026 21:40:00,Fish,Left,8,2,4.5,On my left side,Right leg,0,Savory
8/25/2026 9:31:37,"Dog, Cat, Bird, Other",Right,5,3,7.5,On my right side,I don't wear pants,0,Sweet
8/25/2026 10:29:55,"Dog, Cat",Left,8,6,7,On my right side,Left leg,0,Sweet
8/25/2026 10:38:04,Cat,Right,8,9,7.9,On my back like a vampire,Right leg,0,Savory
8/25/2026 11:29:41,Dog,Right,7,4,8.5,On my right side,I don't wear pants,2,Savory
8/25/2026 12:20:05,Dog,Right,7,10 or more,8.5,On my right side,Right leg,0,Savory
8/25/2026 14:08:02,"Cat, Bird, Other",Right,4,5,5,On my stomach,Left leg,18,Sweet
8/26/2026 10:02:55,"Dog, Cat, Bird, Other",Right,5,3,7.5,On my right side,I don't wear pants,0,Sweet
8/26/2026 10:03:08,Cat,Right,4,6,7.5,On my back like a vampire,Right leg,9,Sweet
8/26/2026 10:03:58,Dog,Right,3,2,6.5,On my left side,Right leg,1,Sweet
8/26/2026 10:06:39,None,Right,7,2,7,On my stomach,Right leg,0,Savory
8/28/2026 18:26:03,Dog,Right,2,5,7.5,On my stomach,Right leg,2,Savory
8/28/2026 20:05:10,None,Right,9,4,6,On my stomach,Right leg,0,Sweet
8/28/2026 20:06:41,None,Right,8,4,6,On my stomach,Right leg,0,Sweet
